County	PR	TP	 R      D      Lib W1 W2 W3 W4 W5 W6 W7 W8 W9 Total
OCONEE	15	15	12,120	4,825	177	0	6	0	0	0	1	0	3	0	17,132
OGLETHORPE	12	12	4,144	2,232	60	0	2	0	0	0	0	0	9	0	6,447
PAULDING	30	30	39,192	17,229	536	0	18	0	0	0	1	0	9	0	56,985
PEACH	9	9	5,173	5,927	61	0	2	0	0	0	0	0	2	0	11,165
PICKENS	14	14	10,004	2,595	177	0	3	0	0	0	0	0	7	0	12,786
PIERCE	10	10	5,500	1,253	33	0	3	0	0	0	0	0	2	0	6,791
PIKE	10	10	6,547	1,575	77	0	3	0	0	0	0	0	1	0	8,203
POLK	13	13	9,850	4,052	201	0	5	0	0	0	0	0	5	0	14,113
PULASKI	5	5	2,553	1,377	23	0	0	0	0	0	0	0	0	0	3,953
PUTNAM	11	11	5,966	3,102	59	0	4	0	0	0	0	0	1	0	9,132
QUITMAN	4	4	509	597	8	0	0	0	0	0	0	0	0	0	1,114
RABUN	11	11	5,487	2,001	96	0	12	0	0	0	0	0	3	0	7,599
RANDOLPH	11	11	1,370	1,833	12	0	0	0	0	0	0	0	0	0	3,215
RICHMOND	75	75	26,842	52,100	329	0	33	2	1	0	4	0	22	0	79,333
ROCKDALE	20	20	16,921	20,526	232	1	16	0	0	0	3	0	7	0	37,706
SCHLEY	3	3	1,252	479	6	0	0	0	0	0	0	0	1	0	1,738
SCREVEN	14	14	3,423	3,024	34	0	0	0	0	0	0	0	0	0	6,481
SEMINOLE	7	7	2,315	1,660	21	0	0	0	0	0	0	0	0	0	3,996
SPALDING	23	23	14,885	10,141	206	0	20	0	0	0	0	0	3	0	25,255
STEPHENS	10	10	7,689	2,705	100	0	19	0	0	0	0	0	4	0	10,517
STEWART	6	6	783	1,305	17	0	0	0	0	0	0	0	0	0	2,105
SUMTER	13	13	5,717	6,454	64	0	0	0	0	0	0	0	0	0	12,235
TALBOT	10	10	1,301	2,369	25	0	1	0	0	0	0	0	4	0	3,700
TALIAFERRO	4	4	339	643	8	0	0	0	0	0	0	0	0	0	990
TATTNALL	11	11	4,730	1,932	41	0	8	0	0	0	1	2	0	0	6,714
TAYLOR	6	6	2,021	1,536	26	0	0	0	0	0	0	0	0	0	3,583
TELFAIR	8	8	2,486	1,862	26	0	0	0	0	0	0	0	0	0	4,374
TERRELL	8	8	1,890	2,501	25	0	0	0	0	0	0	0	0	0	4,416
THOMAS	22	22	10,642	7,720	87	0	5	0	0	0	0	0	5	0	18,459
TIFT	14	14	9,431	4,749	72	0	2	0	0	0	0	0	3	0	14,257
TOOMBS	16	16	6,658	2,964	66	0	0	0	0	0	0	0	0	0	9,688
TOWNS	6	6	4,292	1,391	56	0	0	0	0	0	0	0	0	0	5,739
TREUTLEN	8	8	1,826	1,112	16	0	0	0	0	0	0	0	0	0	2,954
TROUP	18	18	15,391	10,455	182	0	0	0	0	0	0	0	0	0	26,028
TURNER	5	5	2,096	1,427	29	0	1	0	0	0	0	0	0	0	3,553
TWIGGS	7	7	2,087	2,402	30	0	0	0	0	0	0	0	0	0	4,519
UNION	13	13	8,013	2,486	126	0	5	0	0	0	0	0	4	0	10,634
UPSON	11	11	7,291	4,061	62	0	5	0	0	0	0	0	2	0	11,421
WALKER	20	20	17,110	6,095	296	0	33	0	0	0	1	0	7	0	23,542
WALTON	21	21	27,253	8,469	276	0	15	0	0	0	0	0	13	0	36,026
WARE	14	14	8,311	4,034	71	0	0	0	0	0	0	0	0	0	12,416
WARREN	8	8	1,087	1,554	19	0	0	0	0	0	0	0	0	0	2,660
WASHINGTON	10	10	4,216	4,607	40	0	0	0	0	0	0	0	0	0	8,863
WAYNE	17	17	7,601	2,858	96	0	3	0	0	0	0	0	2	0	10,560
WEBSTER	6	6	588	515	7	0	0	0	0	0	0	0	1	0	1,111
WHEELER	4	4	1,408	794	8	0	0	0	0	0	0	0	0	0	2,210
WHITE	13	13	8,467	2,174	106	0	8	0	0	0	1	0	5	0	10,761
WHITFIELD	25	25	19,230	8,167	254	0	18	0	0	0	0	0	8	0	27,677
WILCOX	8	8	2,159	978	24	0	1	0	0	0	0	0	1	0	3,163
WILKES	9	9	2,705	2,315	32	0	0	0	0	0	0	0	0	0	5,052
WILKINSON	11	11	2,349	2,298	23	0	1	0	0	0	0	0	2	0	4,673
WORTH	18	18	5,780	2,542	43	0	4	0	0	0	0	0	1	0	8,370
